epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
180,1034.19,0.52986,0.43898,0.95788,0.93056,0.85862,0.89344,0.79293,0.64486,0.56031,0.97096,0.000126598,0.000126598,0.000126598
181,1040.02,0.50935,0.43252,0.943,0.92692,0.83529,0.89365,0.79462,0.61329,0.56176,0.93107,0.000121099,0.000121099,0.000121099
182,1045.65,0.4923,0.40672,0.94557,0.9295,0.83607,0.89298,0.79662,0.6243,0.57357,0.93365,0.0001156,0.0001156,0.0001156
183,1051.34,0.50493,0.41728,0.94569,0.90208,0.86707,0.89671,0.79431,0.62789,0.56847,0.9474,0.0001101,0.0001101,0.0001101
184,1057.04,0.50933,0.4156,0.94656,0.94429,0.86299,0.90125,0.80259,0.61459,0.5445,0.92993,0.000104601,0.000104601,0.000104601
185,1062.78,0.49917,0.41427,0.9428,0.93717,0.84915,0.89657,0.80327,0.60888,0.53987,0.92165,9.91012e-05,9.91012e-05,9.91012e-05
186,1068.49,0.49441,0.40841,0.94755,0.96665,0.84944,0.89996,0.80188,0.61336,0.54085,0.93424,9.36017e-05,9.36017e-05,9.36017e-05
187,1074.13,0.49833,0.42068,0.95031,0.95892,0.83824,0.89745,0.80108,0.61064,0.54934,0.93342,8.81023e-05,8.81023e-05,8.81023e-05
188,1079.74,0.50692,0.41419,0.94651,0.96284,0.84207,0.89775,0.80085,0.61264,0.54833,0.93725,8.26028e-05,8.26028e-05,8.26028e-05
189,1085.4,0.48606,0.40164,0.93772,0.95315,0.85433,0.89799,0.79933,0.6131,0.53483,0.9394,7.71034e-05,7.71034e-05,7.71034e-05
190,1091.05,0.50201,0.41254,0.94283,0.96304,0.84637,0.89709,0.80494,0.60963,0.54095,0.94026,7.1604e-05,7.1604e-05,7.1604e-05
191,1097.95,0.43952,0.36362,0.88895,0.95301,0.85073,0.89353,0.79515,0.62029,0.54617,0.94441,6.61045e-05,6.61045e-05,6.61045e-05
192,1103.61,0.42047,0.31569,0.88086,0.94625,0.85454,0.89547,0.79476,0.61483,0.5435,0.93677,6.06051e-05,6.06051e-05,6.06051e-05
193,1109.25,0.43094,0.31557,0.89322,0.92632,0.86772,0.89296,0.79309,0.61571,0.54044,0.93723,5.51056e-05,5.51056e-05,5.51056e-05
194,1114.91,0.42555,0.31197,0.8988,0.97467,0.841,0.89418,0.795,0.61483,0.54771,0.93886,4.96062e-05,4.96062e-05,4.96062e-05
195,1120.74,0.42179,0.30696,0.88641,0.97679,0.83758,0.89567,0.7957,0.60809,0.53628,0.93174,4.41067e-05,4.41067e-05,4.41067e-05
196,1126.51,0.41751,0.30322,0.88147,0.97411,0.83336,0.88777,0.79605,0.60436,0.53983,0.93047,3.86073e-05,3.86073e-05,3.86073e-05
197,1132.17,0.40112,0.29302,0.87538,0.97514,0.8374,0.89011,0.79721,0.59882,0.54171,0.93077,3.31078e-05,3.31078e-05,3.31078e-05
198,1137.93,0.40247,0.29213,0.87175,0.97239,0.83841,0.88934,0.79912,0.59821,0.54459,0.93208,2.76084e-05,2.76084e-05,2.76084e-05
199,1143.64,0.39911,0.29117,0.881,0.9711,0.84124,0.8888,0.79877,0.59687,0.53887,0.93238,2.21089e-05,2.21089e-05,2.21089e-05
200,1149.37,0.40715,0.2961,0.87342,0.97506,0.83947,0.8887,0.79654,0.59679,0.54014,0.93169,1.66095e-05,1.66095e-05,1.66095e-05
